code,first_letter,level,name,parent_code,region
110000,b,1,北京市,0,4
120000,t,1,天津市,0,4
130000,h,1,河北省,0,4
140000,s,1,山西省,0,4
150000,n,1,内蒙古自治区,0,4
210000,l,1,辽宁省,0,7
220000,j,1,吉林省,0,7
230000,h,1,黑龙江省,0,7
310000,s,1,上海市,0,1
320000,j,1,江苏省,0,1
330000,z,1,浙江省,0,1
340000,a,1,安徽省,0,1
350000,f,1,福建省,0,1
360000,j,1,江西省,0,1
370000,s,1,山东省,0,1
410000,h,1,河南省,0,3
420000,h,1,湖北省,0,3
430000,h,1,湖南省,0,3
440000,g,1,广东省,0,2
450000,g,1,广西壮族自治区,0,2
460000,h,1,海南省,0,2
500000,c,1,重庆市,0,6
510000,s,1,四川省,0,6
520000,g,1,贵州省,0,6
530000,y,1,云南省,0,6
540000,x,1,西藏自治区,0,6
610000,s,1,陕西省,0,5
620000,g,1,甘肃省,0,5
630000,q,1,青海省,0,5
640000,n,1,宁夏回族自治区,0,5
650000,x,1,新疆维吾尔自治区,0,5
710000,t,1,台湾省,0,8
810000,x,1,香港特别行政区,0,8
820000,a,1,澳门特别行政区,0,8
